alpha,temperature_c,mean_s,std_s
1.7782794100389227e-11,1000,169.77067995055197,29.320697606197722
2.053525026457146e-11,1000,171.3607529369515,27.866895703170066
2.3713737056616552e-11,1000,172.98189888308215,26.493393342535587
2.7384196342643612e-11,1000,174.4958780735945,25.195755245667176
3.1622776601683794e-11,1000,175.8271036596195,23.96979111287425
3.651741272548377e-11,1000,176.97717601980975,22.811542092194404
4.216965034285823e-11,1000,178.0247144081996,21.717267995570058
4.869675251658631e-11,1000,179.11072474662882,20.68343522112904
5.6234132519034906e-11,1000,180.41247330566688,19.70670534256799
6.493816315762113e-11,1000,182.11097945285036,18.783924328791656
7.498942093324558e-11,1000,184.3583911896712,17.9121123589965
8.659643233600654e-11,1000,187.25144901358465,17.088454200309762
1e-10,1000,190.81599164855282,16.310290116911553
1.1547819846894582e-10,1000,195.00525482428262,15.575107281284136
1.333521432163324e-10,1000,199.7119882091735,14.880531659853684
1.539926526059492e-10,1000,204.79169559995034,14.2243203468219
1.778279410038923e-10,1000,210.0921220982669,13.604354321432082
2.053525026457146e-10,1000,215.4829020937708,13.018631605281605
2.371373705661655e-10,1000,220.87929047106255,12.465260797584559
2.7384196342643615e-10,1000,226.25513438861518,11.94245496750879
3.1622776601683795e-10,1000,231.64246368683243,11.448525883864665
3.651741272548377e-10,1000,237.1178361003706,10.981878563512158
4.2169650342858224e-10,1000,242.77830033735856,10.54100612088217
4.869675251658631e-10,1000,248.71196792146046,10.124484901980274
5.623413251903491e-10,1000,254.9692753602613,9.730969887159702
6.493816315762113e-10,1000,261.54086519659415,9.359190347818373
7.498942093324559e-10,1000,268.3466850553747,9.007945742994659
8.659643233600653e-10,1000,275.2387069775408,8.676101842611263
1e-09,1000,282.01706487645055,8.362587064848537
1.1547819846894583e-09,1000,288.4568937642666,8.066389015819908
1.333521432163324e-09,1000,294.3411714075858,7.786551220375495
1.539926526059492e-09,1000,299.4937356570938,7.522170033477065
1.7782794100389228e-09,1000,303.8065567405815,7.272391722170624
2.053525026457146e-09,1000,307.25629971184424,7.0364097087338395
2.3713737056616553e-09,1000,309.90706698681623,6.813461966095941
2.7384196342643613e-09,1000,311.8986565723752,6.602828557119409
3.1622776601683795e-09,1000,313.42228174628644,6.4038293097974375
3.651741272548377e-09,1000,314.6879965736994,6.2158216208599075
4.216965034285823e-09,1000,315.88962233076893,6.038198380695379
4.869675251658631e-09,1000,317.1734648012087,5.870386012888287
5.623413251903491e-09,1000,318.61643903820936,5.711842622040685
6.493816315762113e-09,1000,320.21748757702306,5.562056243897503
7.498942093324558e-09,1000,321.90370739105964,5.420543192124704
8.659643233600654e-09,1000,323.54985391355865,5.286846496401757
1e-08,1000,325.00738842496,5.160534426784796
1e-12,1100,98.92812270771557,25.5
1.1547819846894582e-12,1100,99.39315641868167,23.889887049291538
1.333521432163324e-12,1100,100.15897652092941,22.387793420001373
1.539926526059492e-12,1100,101.07679936229515,20.98647230761524
1.7782794100389228e-12,1100,101.97003821599674,19.679163081527193
2.053525026457146e-12,1100,102.6679754811817,18.45955866858519
2.3713737056616554e-12,1100,103.03810291314245,17.32177512481065
2.7384196342643612e-12,1100,103.01102240056149,16.26032324849171
3.1622776601683794e-12,1100,102.5932328232774,15.270082097698385
3.651741272548377e-12,1100,101.8654386962854,14.346274284455767
4.2169650342858224e-12,1100,100.96676557252594,13.484442926382629
4.869675251658631e-12,1100,100.06793517190137,12.6804301445995
5.6234132519034904e-12,1100,99.33853552823747,11.930357004169878
6.493816315762113e-12,1100,98.91462502295299,11.230604800297934
7.498942093324559e-12,1100,98.87282663127084,10.577797599998533
8.659643233600653e-12,1100,99.2158176509891,9.968785955012374
1e-11,1100,99.87193985860986,9.400631707389733
1.1547819846894581e-11,1100,100.70896092011878,8.870593814437811
1.3335214321633241e-11,1100,101.55932277785591,8.376115124644562
1.539926526059492e-11,1100,102.25202930897697,7.914810040779874
1.7782794100389227e-11,1100,102.64506883290588,7.484453010655109
2.053525026457146e-11,1100,102.65217543633258,7.082967790015025
2.3713737056616552e-11,1100,102.2588229601698,6.708417425761216
2.7384196342643612e-11,1100,101.52440808279037,6.358994911181476
3.1622776601683794e-11,1100,100.5702201226418,6.033014468101484
3.651741272548377e-11,1100,99.55551068649598,5.728903413899858
4.216965034285823e-11,1100,98.64624788836625,5.445194574149216
4.869675251658631e-11,1100,97.98253434218044,5.1805192042782835
5.6234132519034906e-11,1100,97.65092001254868,4.933600386105796
6.493816315762113e-11,1100,97.6669032641204,4.703246867388025
7.498942093324558e-11,1100,97.97096644884573,4.4883473146589505
8.659643233600654e-11,1100,98.43890930868466,4.28786495163615
1e-10,1100,98.90451886050397,4.1008325573255
1.1547819846894582e-10,1100,99.19026928965668,3.9263477996932514
1.333521432163324e-10,1100,99.14022728796697,3.7635688823928724
1.539926526059492e-10,1100,98.64893547478462,3.6117104835444795
1.778279410038923e-10,1100,97.6808326904597,3.4700399669735713
2.053525026457146e-10,1100,96.27659028010927,3.337873847630346
2.371373705661655e-10,1100,94.5452452346089,3.214574494137095
2.7384196342643615e-10,1100,92.64371240752523,3.0995470525552387
3.1622776601683795e-10,1100,90.74764202329227,2.9922365765307917
3.651741272548377e-10,1100,89.01920340680721,2.892125349972746
4.2169650342858224e-10,1100,87.57792061107169,2.7987303893477185
4.869675251658631e-10,1100,86.48006600670769,2.711601113540743
5.623413251903491e-10,1100,85.7104597105996,2.630317170040546
6.493816315762113e-10,1100,85.18814405479694,2.554486406961778
7.498942093324559e-10,1100,84.78475193110755,2.483742981120312
8.659643233600653e-10,1100,84.351963104326,2.417745593034047
1e-09,1100,83.75270044801314,2.356175840334058
1.1547819846894583e-09,1100,82.88999255040505,2.298736681642159
1.333521432163324e-09,1100,81.72786727491423,2.2451510035039113
1.539926526059492e-09,1100,80.3001694089133,2.1951602834632844
1.7782794100389228e-09,1100,78.70552855033183,2.1485233428290176
2.053525026457146e-09,1100,77.08939320958146,2.105015183115445
2.3713737056616553e-09,1100,75.61657086709832,2.0644259005442187
2.7384196342643613e-09,1100,74.43957741320345,2.026559673369988
3.1622776601683795e-09,1100,73.66893686544957,1.9912338171444115
3.651741272548377e-09,1100,73.35121806750676,1.9582779033606548
4.216965034285823e-09,1100,73.4591166221224,1.9275329372263
4.869675251658631e-09,1100,73.89557378088416,1.8988505905978625
5.623413251903491e-09,1100,74.51121782733838,1.8720924863762236
6.493816315762113e-09,1100,75.13184088354446,1.8471295309105709
7.498942093324558e-09,1100,75.59068186809743,1.8238412911900515
8.659643233600654e-09,1100,75.75934931880676,1.802115413818416
1e-08,1100,75.57146684533657,1.7818470829685127
